"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.9896,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.9331,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.8112,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.5869,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.3033,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.1571,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.2121,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.4075,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.5933,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.7509,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.8952,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.9525,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.9502,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.8281,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.6556,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.499,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",100.3488,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",100.1658,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.0332,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.86827,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.6385,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.45292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.44685,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.70987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.99541,
